student_id,attendance,assignment,quiz,exam,result
S0101,87,79,65,41,Pass
S0102,54,64,31,69,Pass
S0103,47,62,32,33,Fail
S0104,53,62,81,83,Pass
S0105,62,90,79,66,Pass
S0106,99,80,62,48,Pass
S0107,96,72,95,95,Pass
S0108,79,41,87,55,Pass
S0109,60,96,24,71,Pass
S0110,55,94,56,95,Pass
S0111,84,62,91,26,Pass
S0112,57,69,50,48,Fail
S0113,86,72,28,30,Fail
S0114,92,73,70,52,Pass
S0115,63,58,48,25,Fail
S0116,65,42,97,98,Pass
S0117,64,41,59,51,Fail
S0118,99,75,60,70,Pass
S0119,99,31,30,94,Pass
S0120,99,64,42,77,Pass
S0121,84,37,20,45,Fail
S0122,80,55,65,65,Pass
S0123,68,63,40,48,Fail
S0124,54,36,55,23,Fail
S0125,84,97,73,100,Pass
S0126,40,87,76,32,Fail
S0127,64,58,20,58,Fail
S0128,46,65,82,34,Fail
S0129,48,50,73,48,Pass
S0130,63,65,74,48,Pass
S0131,40,39,59,94,Pass
S0132,83,53,34,51,Pass
S0133,47,93,40,21,Fail
S0134,63,78,66,66,Pass
S0135,50,65,92,97,Pass
S0136,90,53,72,41,Pass
S0137,56,52,28,94,Pass
S0138,47,91,93,46,Pass
S0139,74,66,71,86,Pass
S0140,74,41,76,100,Pass
S0141,72,84,45,75,Pass
S0142,98,42,60,40,Pass
S0143,44,52,54,66,Pass
S0144,81,59,82,99,Pass
S0145,78,46,44,78,Pass
S0146,97,91,94,25,Pass
S0147,80,42,57,38,Fail
S0148,67,88,21,76,Pass
S0149,46,48,26,88,Pass
S0150,48,78,53,22,Fail
S0151,47,41,36,20,Fail
S0152,51,90,62,77,Pass
S0153,73,48,78,57,Pass
S0154,72,38,70,34,Fail
S0155,87,100,73,53,Pass
S0156,94,57,43,80,Pass
S0157,62,81,44,54,Pass
S0158,63,45,90,83,Pass
S0159,76,98,71,44,Pass
S0160,74,41,89,43,Fail
S0161,83,54,52,31,Fail
S0162,79,81,68,37,Pass
S0163,61,82,48,34,Fail
S0164,66,52,82,99,Pass
S0165,74,45,41,46,Pass
S0166,40,86,45,91,Pass
S0167,74,68,47,79,Pass
S0168,76,82,68,65,Pass
S0169,86,71,90,36,Pass
S0170,53,87,100,72,Pass
S0171,42,68,68,27,Fail
S0172,40,43,39,98,Pass
S0173,44,34,82,46,Fail
S0174,65,64,80,65,Pass
S0175,94,47,68,69,Pass
S0176,53,38,90,90,Pass
S0177,78,87,20,22,Fail
S0178,66,46,32,83,Pass
S0179,48,36,70,63,Pass
S0180,54,75,75,72,Pass
S0181,54,42,81,43,Fail
S0182,65,69,51,79,Pass
S0183,81,71,49,22,Pass
S0184,99,38,48,39,Fail
S0185,52,79,68,65,Pass
S0186,90,56,64,34,Pass
S0187,71,95,49,44,Pass
S0188,78,34,35,97,Pass
S0189,88,58,59,90,Pass
S0190,91,66,38,36,Pass
S0191,100,67,37,28,Pass
S0192,71,37,20,57,Pass
S0193,43,94,97,67,Pass
S0194,69,46,66,79,Pass
S0195,76,100,85,82,Pass
S0196,62,74,57,21,Fail
S0197,78,33,70,91,Pass
S0198,84,65,82,30,Fail
S0199,54,99,23,83,Pass
S0200,82,60,20,96,Pass
S0201,68,48,27,100,Pass
S0202,75,90,48,91,Pass
S0203,52,83,74,40,Pass
S0204,71,68,22,37,Fail
S0205,46,48,51,83,Pass
S0206,98,68,29,57,Pass
S0207,90,96,93,51,Pass
S0208,61,74,53,30,Pass
S0209,67,42,74,64,Pass
S0210,41,87,51,52,Pass
S0211,81,49,69,60,Pass
S0212,84,90,26,27,Fail
S0213,96,68,27,30,Fail
S0214,92,30,84,70,Pass
S0215,45,32,76,60,Fail
S0216,67,91,86,36,Pass
S0217,67,92,78,95,Pass
S0218,83,54,91,65,Pass
S0219,83,85,73,51,Pass
S0220,59,62,86,98,Pass
S0221,69,67,70,99,Pass
S0222,50,35,27,73,Fail
S0223,97,87,53,39,Pass
S0224,94,73,54,52,Pass
S0225,67,74,97,93,Pass
S0226,64,61,51,59,Pass
S0227,78,74,65,51,Pass
S0228,72,90,35,21,Fail
S0229,40,76,87,52,Pass
S0230,96,50,56,96,Pass
S0231,66,65,73,49,Pass
S0232,96,48,33,52,Pass
S0233,91,49,74,96,Pass
S0234,52,86,67,45,Pass
S0235,80,47,26,41,Fail
S0236,42,76,93,85,Pass
S0237,78,78,26,57,Pass
S0238,45,43,52,65,Pass
S0239,47,44,42,34,Fail
S0240,66,60,38,63,Pass
S0241,48,30,38,68,Pass
S0242,76,83,55,94,Pass
S0243,72,32,48,80,Pass
S0244,90,45,79,86,Pass
S0245,81,86,21,25,Fail
S0246,83,41,20,28,Fail
S0247,63,45,66,25,Fail
S0248,54,53,88,92,Pass
S0249,98,57,39,51,Pass
S0250,93,37,30,60,Fail
S0251,71,65,21,95,Pass
S0252,71,37,86,27,Fail
S0253,63,87,31,91,Pass
S0254,80,89,39,69,Pass
S0255,91,79,24,81,Pass
S0256,88,57,56,81,Pass
S0257,88,70,57,26,Pass
S0258,97,93,28,94,Pass
S0259,91,56,72,99,Pass
S0260,51,92,63,23,Pass
S0261,78,46,43,25,Fail
S0262,41,62,100,77,Pass
S0263,42,58,93,41,Pass
S0264,88,42,49,45,Pass
S0265,76,75,78,22,Pass
S0266,88,64,100,60,Pass
S0267,95,35,100,79,Pass
S0268,56,98,33,33,Pass
S0269,98,76,28,94,Pass
S0270,88,54,59,31,Pass
S0271,41,95,85,31,Pass
S0272,41,39,44,32,Fail
S0273,67,85,92,44,Pass
S0274,93,59,41,64,Pass
S0275,62,34,23,38,Fail
S0276,76,62,45,74,Pass
S0277,71,94,77,64,Pass
S0278,72,47,48,27,Fail
S0279,40,78,56,72,Pass
S0280,58,40,94,74,Pass
S0281,41,55,89,51,Pass
S0282,92,92,37,70,Pass
S0283,83,88,61,63,Pass
S0284,65,56,60,89,Pass
S0285,71,78,57,37,Pass
S0286,45,62,53,41,Fail
S0287,71,30,36,56,Pass
S0288,94,50,56,75,Pass
S0289,43,84,44,78,Pass
S0290,94,35,95,22,Pass
S0291,50,98,46,47,Pass
S0292,95,34,76,93,Pass
S0293,98,32,50,54,Pass
S0294,56,82,25,80,Pass
S0295,77,52,59,73,Pass
S0296,63,82,31,82,Pass
S0297,44,66,72,98,Pass
S0298,91,46,90,26,Pass
S0299,73,30,29,95,Pass
S0300,45,80,64,68,Pass
S0301,61,74,36,50,Fail
S0302,50,33,45,77,Pass
S0303,87,91,81,80,Pass
S0304,55,94,65,43,Pass
S0305,72,61,83,39,Pass
S0306,48,63,21,56,Pass
S0307,99,68,73,23,Pass
S0308,98,55,84,39,Pass
S0309,45,63,70,79,Pass
S0310,55,83,72,43,Pass
S0311,68,32,55,69,Pass
S0312,42,79,45,68,Pass
S0313,59,41,48,70,Pass
S0314,99,94,40,55,Pass
S0315,98,83,30,85,Pass
S0316,75,34,59,98,Pass
S0317,58,86,30,53,Pass
S0318,65,46,55,55,Pass
S0319,42,76,78,25,Pass
S0320,58,52,58,58,Pass
S0321,59,43,73,61,Pass
S0322,71,95,74,77,Pass
S0323,46,80,43,31,Fail
S0324,91,67,41,22,Pass
S0325,80,93,88,37,Pass
S0326,72,67,75,59,Pass
S0327,79,79,52,40,Pass
S0328,78,59,55,34,Pass
S0329,57,80,39,45,Pass
S0330,79,92,100,27,Pass
S0331,40,81,81,61,Pass
S0332,50,67,92,63,Pass
S0333,67,59,45,33,Pass
S0334,96,80,85,97,Pass
S0335,64,34,92,21,Fail
S0336,89,58,92,56,Pass
S0337,62,33,59,88,Pass
S0338,70,39,36,57,Pass
S0339,69,85,20,60,Pass
S0340,81,46,80,81,Pass
S0341,74,46,62,79,Pass
S0342,46,98,61,33,Pass
S0343,99,63,44,21,Pass
S0344,55,35,58,89,Pass
S0345,65,82,54,36,Pass
S0346,87,95,22,47,Pass
S0347,96,72,63,85,Pass
S0348,91,52,70,54,Pass
S0349,99,84,31,24,Pass
S0350,88,45,38,84,Pass
S0351,41,37,63,59,Pass
S0352,40,33,78,95,Pass
S0353,87,33,68,75,Pass
S0354,51,85,80,55,Pass
S0355,44,54,36,64,Pass
S0356,76,96,93,42,Pass
S0357,71,96,76,66,Pass
S0358,98,56,74,50,Pass
S0359,94,61,66,30,Pass
S0360,48,79,31,29,Fail
S0361,80,90,81,86,Pass
S0362,74,80,99,33,Pass
S0363,58,48,27,99,Pass
S0364,87,50,40,93,Pass
S0365,55,34,100,29,Fail
S0366,42,71,99,95,Pass
S0367,59,90,89,20,Pass
S0368,63,51,91,24,Fail
S0369,93,50,44,39,Fail
S0370,95,99,31,27,Fail
S0371,72,30,34,62,Pass
S0372,63,34,78,95,Pass
S0373,91,41,45,20,Fail
S0374,50,75,45,76,Pass
S0375,88,63,66,83,Pass
S0376,47,78,51,47,Pass
S0377,75,74,29,56,Pass
S0378,77,56,35,66,Pass
S0379,79,55,90,95,Pass
S0380,59,76,36,56,Fail
S0381,74,85,42,68,Pass
S0382,87,92,45,63,Pass
S0383,64,77,26,75,Pass
S0384,74,90,33,47,Pass
S0385,64,55,98,98,Pass
S0386,68,65,26,25,Fail
S0387,57,30,28,80,Fail
S0388,85,37,67,39,Fail
S0389,57,81,91,97,Pass
S0390,41,76,78,21,Fail
S0391,93,85,58,92,Pass
S0392,74,43,37,56,Pass
S0393,55,57,78,39,Pass
S0394,100,31,36,45,Pass
S0395,80,55,33,48,Pass
S0396,75,43,50,20,Fail
S0397,72,88,43,54,Pass
S0398,43,85,79,89,Pass
S0399,72,36,64,78,Pass
S0400,53,32,22,88,Pass
S0401,60,52,56,52,Pass
S0402,87,47,62,70,Pass
S0403,59,67,59,97,Pass
S0404,95,44,74,31,Pass
S0405,47,93,58,39,Pass
S0406,46,57,34,72,Pass
S0407,42,68,23,62,Fail
S0408,56,86,44,69,Pass
S0409,72,46,32,48,Pass
S0410,87,73,52,76,Pass
S0411,51,54,35,58,Fail
S0412,98,46,61,75,Pass
S0413,90,42,85,62,Pass
S0414,61,54,74,69,Pass
S0415,94,97,61,42,Pass
S0416,61,39,53,63,Pass
S0417,85,96,49,57,Pass
S0418,69,47,32,42,Fail
S0419,77,63,32,64,Pass
S0420,77,37,37,71,Pass
S0421,84,69,51,99,Pass
S0422,90,71,58,69,Pass
S0423,93,70,65,27,Pass
S0424,47,35,48,20,Fail
S0425,66,81,81,27,Pass
S0426,66,55,81,48,Pass
S0427,73,93,76,24,Pass
S0428,60,88,35,66,Pass
S0429,69,85,75,53,Pass
S0430,72,88,29,84,Pass
S0431,67,99,49,74,Pass
S0432,86,62,44,62,Pass
S0433,72,82,24,93,Pass
S0434,44,51,84,49,Pass
S0435,99,50,68,36,Pass
S0436,100,99,22,45,Pass
S0437,87,99,64,27,Pass
S0438,58,33,33,66,Pass
S0439,43,91,49,95,Pass
S0440,74,91,87,91,Pass
S0441,88,53,37,65,Pass
S0442,56,84,81,87,Pass
S0443,83,38,56,52,Pass
S0444,67,32,44,20,Fail
S0445,69,60,67,38,Fail
S0446,68,69,84,50,Pass
S0447,85,65,72,99,Pass
S0448,92,53,98,33,Pass
S0449,45,35,92,72,Pass
S0450,74,95,34,67,Pass
S0451,99,33,68,88,Pass
S0452,80,35,87,81,Pass
S0453,76,80,31,85,Pass
S0454,63,91,78,83,Pass
S0455,68,86,56,89,Pass
S0456,88,95,80,82,Pass
S0457,85,37,62,92,Pass
S0458,92,55,89,52,Pass
S0459,70,80,58,60,Pass
S0460,74,74,75,67,Pass
S0461,99,73,82,32,Pass
S0462,72,34,65,92,Pass
S0463,91,99,30,96,Pass
S0464,100,55,81,50,Pass
S0465,60,97,96,94,Pass
S0466,71,48,44,87,Pass
S0467,62,49,90,23,Fail
S0468,72,41,71,38,Fail
S0469,42,76,23,89,Pass
S0470,57,30,78,32,Pass
S0471,64,43,91,42,Fail
S0472,81,93,39,94,Pass
S0473,70,67,82,20,Pass
S0474,93,66,73,73,Pass
S0475,97,40,93,90,Pass
S0476,42,32,76,34,Fail
S0477,79,62,60,84,Pass
S0478,85,35,22,95,Pass
S0479,63,79,25,90,Pass
S0480,89,39,24,34,Fail
S0481,71,34,24,40,Fail
S0482,86,52,73,38,Pass
S0483,61,39,66,79,Pass
S0484,62,73,68,52,Pass
S0485,41,31,28,68,Fail
S0486,66,42,39,54,Pass
S0487,81,69,80,63,Pass
S0488,41,31,54,30,Fail
S0489,65,94,69,91,Pass
S0490,56,92,81,97,Pass
S0491,79,46,36,93,Pass
S0492,72,38,22,85,Pass
S0493,48,44,51,65,Pass
S0494,82,53,32,28,Fail
S0495,93,67,92,22,Pass
S0496,87,64,87,45,Pass
S0497,78,78,33,91,Pass
S0498,68,98,30,67,Pass
S0499,81,91,75,85,Pass
S0500,94,89,86,89,Pass
